Date,Total Scheduled ,Total Absent,Open Time,AUX01 Paid Break,AUX01 Unpaid Lunch,Meeting-Unavail-Paid,Client ACD - Coaching,Absent,Unconfirmed LOA,MIA,Late-Tardy-Sign Off,Holiday-Float-Pd,On Loan to Program C,VZN Training Mod 2L,Personal Off Phon-Pd,Sick-Paid,MTO,No Call No Show-Unp,Sick-Unpaid,Leave-Personal-Unp,Training-SITEL-Pd,Excessive Time Off,Idle,V - Back Office Work,Borrowed A - Signon,OJT/Mentor-Paid,Borrowed B - Signon,CapOne - Virtual 2,SHIFT - V - Back Office Work,Month,DayOfWeek,IsWeekend
2023-02-13,3866.68,193.18,2322.066666642,230.5,513,84.0,53.0,8.0,63.666666666,8.933333334,13.349999999000001,65.166666666,59.666666666,8.5,5.433333334,24.133333333,107.7,24.333333333,47.783333333,16.5,20.0,5.416666665,40.866666663000004,298.333333334,114.5,22.333333333,0.0,0.0,0.0,2,0,0
2023-02-14,4518.64,178.78,2019.949999982,272.5,601,275.216666667,61.0,0.0,48.833333333,7.633333331999999,7.1,55.499999998999996,70.916666666,0.0,0.35,15.383333333,163.766666666,7.333333333,62.366666665,16.5,21.0,3.266666666,601.050000006,445.2,195.9,41.333333333,0.0,0.0,0.0,2,1,0
2023-02-15,4859.57,256.87,2164.333333315,284.25,658,156.25,64.5,24.333333333,68.666666666,3.433333333,15.149999997,72.249999999,69.283333333,8.5,3.816666667,32.400000001,38.716666666,17.0,92.933333332,8.5,18.4,1.6,710.866666664,412.066666663,124.383333336,41.833333333,0.0,0.0,0.0,2,2,0
2023-02-16,4119.33,188.46,1927.399999982,242.75,588,116.5,54.25,7.333333333,65.666666666,3.283333333,8.733333331,40.166666666,44.833333333,8.5,9.100000000000001,22.349999999,115.166666666,1.75,74.499999999,16.5,2.0,3.116666666,679.766666669,441.433333329,110.299999999,39.416666667,0.0,0.0,0.0,2,3,0
2023-02-17,4134.19,204.96,1993.333333318,246.0,558,108.5,34.25,31.666666665999998,56.166666666,11.416666667,7.783333333,90.166666666,56.166666666,8.5,9.766666666,30.6,40.083333333,0.0,60.716666665999995,16.0,0.916666667,2.4166666660000002,438.483333335,667.099999996,116.983333333,43.333333333,0.0,0.0,0.0,2,4,0
2023-02-18,2561.99,161.03,1032.466666658,150.0,391,19.0,11.5,71.999999999,25.0,12.766666667,12.883333332,49.333333333,23.0,0.0,6.716666666,4.066666667,79.083333333,16.5,17.833333333,16.5,9.5,1.4,40.033333334,631.149999996,52.449999999,22.0,0.0,0.0,0.0,2,5,1
2023-02-19,1644.41,125.2,1121.649999987,94.75,226,71.75,23.0,37.833333332,23.166666665999998,1.516666667,5.6166666649999994,0.0,34.833333333,22.5,0.833333333,6.433333333,68.0,0.0,43.416666667,0.0,50.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,1
2023-02-20,3961.06,186.21,2501.683333312,236.5,527,193.25,52.5,23.833333333,37.583333333,10.899999999,13.766666665999999,65.333333333,58.333333333,0.0,17.333333333,21.3,137.616666666,8.5,68.933333333,8.5,36.0,3.066666666,50.133333334,301.916666665,121.0,13.833333332999999,0.0,0.0,0.0,2,0,0
2023-02-21,4635.38,171.08,2155.849999984,281.0,610,214.9,65.5,15.833333332999999,44.0,11.516666667,12.549999997,61.083333333,58.833333333,8.0,16.133333333,30.25,157.116666666,7.333333333,44.4,16.5,46.0,2.633333333,273.533333336,717.916666664,195.85,37.833333333,0.0,0.0,0.0,2,1,0
2023-02-22,4459.28,154.51,2226.083333315,271.0,598,154.0,61.0,39.666666666,48.583333333,9.2,6.283333329,49.5,59.0,17.0,7.883333332,3.8333333339999998,140.383333332,8.5,38.499999998999996,16.5,36.0,2.750000001,501.583333332,569.58333334,145.13333333,31.333333333,0.0,0.0,0.0,2,2,0
2023-02-23,4121.13,142.28,2066.86666664,249.5,542,105.5,50.5,32.333333333,47.383333332999996,4.783333334,4.916666664,32.5,40.533333333,0.0,8.6,3.9,104.749999999,0.0,46.566666667,16.5,28.0,5.016666667,650.033333333,476.133333329,92.650000001,34.333333333,0.0,0.0,0.0,2,3,0
2023-02-24,4537.64,257.21,2133.699999987,264.5,621,138.25,38.5,23.833333333,52.999999998999996,6.416666667,4.683333334,40.5,55.4,0.0,8.5,23.4,144.416666666,7.333333333,46.05,8.0,59.0,5.25,293.500000007,815.866666667,90.616666663,37.333333333,0.0,0.0,0.0,2,4,0
2023-02-25,2745.83,120.7,1244.499999989,164.25,376,10.0,15.0,32.5,8.5,12.066666667,5.249999998,16.5,31.0,0.0,18.500000001,1.916666667,114.766666667,0.0,60.483333333,16.5,80.0,2.650000001,34.833333335,643.783333325,37.166666665,18.25,0.0,0.0,0.0,2,5,1
